_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
132251,4154875,2017.0,2020,1960.0,PRIVATE,16,Don Valley East,1 ECCLESTON DR,4,62,2020-11-21,92,Evaluation needs to be conducted in 3 years,19,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,,N1628,43.727010393,-79.3140806139,319763.103,4842800.045
132252,4155562,2017.0,2020,1971.0,TCHC,20,Scarborough Southwest,40 TEESDALE PL,24,278,2020-11-21,72,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,E2028,43.6972076653,-79.2864410678,321998.393,4839494.37
132253,4250634,2018.0,2020,1925.0,PRIVATE,19,Beaches-East York,2367 QUEEN ST E,3,24,2020-11-20,70,Evaluation needs to be conducted in 2 years,16,3.0,4.0,4.0,3.0,4.0,4.0,,3.0,,4.0,3.0,4.0,4.0,3.0,3.0,4.0,,3.0,3.0,,S1942,43.6721682166,-79.2883005888,321855.542,4836712.225
132254,4154804,2017.0,2020,1970.0,PRIVATE,16,Don Valley East,150 GRAYDON HALL DR,25,298,2020-11-20,89,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,,N1621,43.7656767876,-79.34282796560001,317438.988,4847090.877
132255,4154824,2017.0,2020,1969.0,PRIVATE,17,Don Valley North,1650 SHEPPARD AVE E,15,149,2020-11-20,88,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,N1727,43.775121294099996,-79.3490805112,316933.665,4848139.196
132256,4153053,2017.0,2020,1960.0,PRIVATE,4,Parkdale-High Park,470 RONCESVALLES AVE,4,39,2020-11-20,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,3.0,4.0,,3.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,S0432,43.653028589399995,-79.4519252195,308662.363,4834565.429
132257,4155310,2017.0,2020,1962.0,PRIVATE,2,Etobicoke Centre,307 THE KINGSWAY,3,26,2020-11-20,79,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,4.0,3.0,,3.0,,4.0,5.0,4.0,5.0,3.0,5.0,4.0,,4.0,3.0,,W0229,43.6646746732,-79.5222520533,302989.714,4835858.492
132258,4155322,,2020,1952.0,PRIVATE,2,Etobicoke Centre,308 THE KINGSWAY,4,34,2020-11-20,79,Evaluation needs to be conducted in 2 years,16,4.0,5.0,5.0,4.0,4.0,3.0,,3.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,2.0,,W0229,43.6641680509,-79.5231261637,302919.2,4835802.228999999
132259,4153531,2017.0,2020,1975.0,PRIVATE,13,Toronto Centre,33 ISABELLA ST,27,419,2020-11-20,74,Evaluation needs to be conducted in 2 years,19,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,S1322,43.667643942,-79.383679432,314164.83,4836195.449
132260,4153533,2017.0,2020,1963.0,PRIVATE,13,Toronto Centre,59 ISABELLA ST,14,101,2020-11-20,81,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,S1322,43.667962528000004,-79.382564773,314254.674,4836230.967
132261,4153545,2017.0,2020,1917.0,PRIVATE,13,Toronto Centre,96 ISABELLA ST,4,28,2020-11-20,74,Evaluation needs to be conducted in 2 years,14,4.0,4.0,3.0,4.0,4.0,4.0,,3.0,,,4.0,3.0,5.0,4.0,3.0,4.0,,3.0,,,S1322,43.6689634555,-79.38048370930001,314422.606,4836341.446
132262,4153007,2017.0,2020,1952.0,PRIVATE,4,Parkdale-High Park,1502 KING ST W,3,15,2020-11-20,61,Evaluation needs to be conducted in 1 year,14,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,,,S0436,43.636587848400005,-79.4403366563,309598.452,4832739.518
132263,4155060,2017.0,2020,1960.0,PRIVATE,8,Eglinton-Lawrence,178 LOCKSLEY AVE,3,24,2020-11-20,80,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7023837133,-79.4491090339,308886.201,4840048.632
132264,4153059,2017.0,2020,1935.0,PRIVATE,4,Parkdale-High Park,34 NOBLE ST,3,18,2020-11-20,75,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,3.0,3.0,,3.0,,,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,,S0435,43.6428677432,-79.431388625,310319.87100000004,4833437.692
132265,4155038,2017.0,2020,1968.0,PRIVATE,12,Toronto-St. Paul's,633 NORTHCLIFFE BLVD,11,86,2020-11-20,73,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,3.0,3.0,3.0,,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,,S1222,43.695129788,-79.4469525657,309060.50399999996,4839242.877
132266,4155051,2017.0,2020,1958.0,PRIVATE,8,Eglinton-Lawrence,131 LYON CRT,4,26,2020-11-20,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7030805404,-79.44023175939999,309601.661,4840126.516
132267,4152589,2017.0,2020,1969.0,PRIVATE,20,Scarborough Southwest,10 MACEY AVE,16,255,2020-11-20,65,Evaluation needs to be conducted in 1 year,19,4.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,E2028,43.6922807906,-79.2871199966,321945.072,4838946.874
132268,4153668,2017.0,2020,1920.0,PRIVATE,19,Beaches-East York,2449 QUEEN ST E,4,29,2020-11-20,76,Evaluation needs to be conducted in 2 years,14,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,4.0,3.0,4.0,3.0,3.0,4.0,,4.0,,,S1942,43.6730490225,-79.2843149122,322176.688,4836810.9
132269,4153669,2017.0,2020,1920.0,PRIVATE,19,Beaches-East York,2451 QUEEN ST E,4,29,2020-11-20,73,Evaluation needs to be conducted in 2 years,14,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,3.0,3.0,4.0,3.0,3.0,4.0,,4.0,,,S1942,43.6731276017,-79.28409669439999,322194.262,4836819.675
132270,4153670,2017.0,2020,1920.0,PRIVATE,19,Beaches-East York,2453 QUEEN ST E,4,16,2020-11-20,72,Evaluation needs to be conducted in 2 years,13,3.0,4.0,4.0,4.0,,3.0,,4.0,,,4.0,3.0,4.0,3.0,3.0,4.0,,4.0,,,S1942,43.6731843525,-79.2839314584,322207.57,4836826.0139999995
132271,4155200,2017.0,2020,1950.0,SOCIAL HOUSING,4,Parkdale-High Park,495 RIVERSIDE DR,3,25,2020-11-20,81,Evaluation needs to be conducted in 3 years,16,4.0,3.0,5.0,4.0,3.0,4.0,,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,4.0,,S0425,43.6481742891,-79.4902420295,305571.54,4834025.1389999995
132272,4153664,2017.0,2020,1927.0,PRIVATE,19,Beaches-East York,2269 QUEEN ST E,3,17,2020-11-20,70,Evaluation needs to be conducted in 2 years,14,4.0,4.0,3.0,4.0,3.0,4.0,,3.0,,,4.0,3.0,4.0,3.0,4.0,3.0,,3.0,,,S1942,43.6712526429,-79.293268236,321455.209,4836609.522
132273,4155054,2017.0,2020,1956.0,PRIVATE,8,Eglinton-Lawrence,1030 CASTLEFIELD AVE,5,56,2020-11-20,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7009672272,-79.4495637221,308849.641,4839891.251
132274,4155055,2017.0,2020,1959.0,PRIVATE,8,Eglinton-Lawrence,1040 CASTLEFIELD AVE,4,44,2020-11-20,80,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,,N0831,43.7010486833,-79.4499999014,308814.479,4839900.279
132275,4155056,2017.0,2020,1959.0,PRIVATE,8,Eglinton-Lawrence,1050 CASTLEFIELD AVE,5,64,2020-11-20,79,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7010927419,-79.4506862658,308759.154,4839905.141
132276,4155061,2017.0,2020,1960.0,PRIVATE,8,Eglinton-Lawrence,851 BRIAR HILL AVE,3,10,2020-11-20,80,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7044391867,-79.4423269927,309432.683,4840277.301
132277,4152593,2017.0,2020,1982.0,PRIVATE,20,Scarborough Southwest,30 BURN HILL RD,22,238,2020-11-20,81,Evaluation needs to be conducted in 3 years,19,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,E2028,43.6992222546,-79.2778348112,322691.471,4839719.991
132278,4152608,2017.0,2020,1950.0,PRIVATE,20,Scarborough Southwest,650 DAWES RD,3,17,2020-11-20,74,Evaluation needs to be conducted in 2 years,14,3.0,3.0,4.0,3.0,3.0,3.0,,5.0,,,3.0,3.0,5.0,4.0,4.0,5.0,,4.0,,,E2028,43.7075426167,-79.2947631998,321324.76,4840640.89
132279,4154802,2017.0,2020,1970.0,PRIVATE,16,Don Valley East,50 GRAYDON HALL DR,20,304,2020-11-20,84,Evaluation needs to be conducted in 3 years,19,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,,N1621,43.764621932299995,-79.3457777572,317201.725,4846973.244
132280,4154805,2017.0,2020,1970.0,PRIVATE,16,Don Valley East,100 GRAYDON HALL DR,24,286,2020-11-20,85,Evaluation needs to be conducted in 3 years,19,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,,N1621,43.7654302303,-79.3443358391,317317.648,4847063.257
132281,4153666,2017.0,2020,1930.0,PRIVATE,19,Beaches-East York,2373 QUEEN ST E,3,27,2020-11-20,70,Evaluation needs to be conducted in 2 years,16,3.0,4.0,4.0,3.0,4.0,4.0,,3.0,,4.0,3.0,4.0,4.0,3.0,3.0,4.0,,3.0,3.0,,S1942,43.6723206085,-79.2877515365,321899.772,4836729.268999999
132282,4154506,2017.0,2020,1956.0,PRIVATE,8,Eglinton-Lawrence,10 WASDALE CRES,3,10,2020-11-19,80,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0823,43.731194699300005,-79.4353275935,309994.519,4843250.185
132283,4288860,2017.0,2020,1958.0,PRIVATE,19,Beaches-East York,1981 DUNDAS ST E,3,12,2020-11-19,74,Evaluation needs to be conducted in 2 years,17,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,,S1937,43.668927771999996,-79.315350573,319674.841,4836347.995
132284,4152901,2017.0,2020,1957.0,PRIVATE,4,Parkdale-High Park,9 MORNINGSIDE AVE,4,36,2020-11-19,80,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,S0430,43.645605233000005,-79.473469677,306924.468,4833740.943
132285,4152810,2017.0,2020,1969.0,PRIVATE,24,Scarborough-Guildwood,421 MARKHAM RD,12,159,2020-11-19,81,Evaluation needs to be conducted in 3 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,E2430,43.7506077851,-79.2210328403,327250.61699999997,4845442.448
132286,4152812,2017.0,2020,1995.0,SOCIAL HOUSING,24,Scarborough-Guildwood,525 MARKHAM RD,8,115,2020-11-19,81,Evaluation needs to be conducted in 3 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,E2430,43.756754208000004,-79.223973575,327027.68100000004,4846037.557
132287,4155275,2017.0,2020,1960.0,PRIVATE,3,Etobicoke-Lakeshore,16 RIVERWOOD PKWY,5,45,2020-11-19,81,Evaluation needs to be conducted in 3 years,17,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,4.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,W0327,43.6390524323,-79.4890660176,305666.544,4833011.7530000005
132288,4155289,2017.0,2020,1958.0,PRIVATE,3,Etobicoke-Lakeshore,25 RIVERWOOD PKWY,4,50,2020-11-19,83,Evaluation needs to be conducted in 3 years,18,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0327,43.639857076400006,-79.48883782989999,305684.946,4833101.147
132289,4155290,2017.0,2020,1958.0,PRIVATE,3,Etobicoke-Lakeshore,33 RIVERWOOD PKWY,4,50,2020-11-19,83,Evaluation needs to be conducted in 3 years,18,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0327,43.640211934499995,-79.4896809434,305616.916,4833140.562
132290,4155272,2017.0,2020,1955.0,PRIVATE,3,Etobicoke-Lakeshore,34 RIVERWOOD PKWY,4,35,2020-11-19,84,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0327,43.6397937003,-79.4903246449,305564.983,4833094.093
132291,4152585,2017.0,2020,1960.0,PRIVATE,20,Scarborough Southwest,20 PELL ST,3,11,2020-11-19,68,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,5.0,,,3.0,4.0,5.0,3.0,3.0,2.0,,4.0,3.0,,E2035,43.70777445,-79.248713747,325033.789,4840699.303
132292,4156249,2017.0,2020,1960.0,PRIVATE,20,Scarborough Southwest,22 PELL ST,3,10,2020-11-19,69,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,4.0,,,3.0,4.0,5.0,3.0,3.0,3.0,,4.0,4.0,,E2035,43.707978053999994,-79.248780872,325050.664,4840714.735
132293,4156048,2017.0,2020,1960.0,PRIVATE,20,Scarborough Southwest,24 PELL ST,3,11,2020-11-19,67,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,4.0,,,3.0,4.0,5.0,3.0,3.0,2.0,,4.0,3.0,,E2035,43.708100911,-79.248499263,325056.88300000003,4840728.7469999995
132294,4153656,2017.0,2020,1985.0,SOCIAL HOUSING,14,Toronto-Danforth,100 UNITY RD,6,98,2020-11-19,86,Evaluation needs to be conducted in 3 years,20,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,S1432,43.677802998900006,-79.3304925488,318452.018,4837330.443
132295,4153655,2017.0,2020,1983.0,SOCIAL HOUSING,14,Toronto-Danforth,110 UNITY RD,8,174,2020-11-19,90,Evaluation needs to be conducted in 3 years,20,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,S1432,43.6779324239,-79.3299297782,318497.365,4837344.914
132296,4152817,2017.0,2020,1963.0,PRIVATE,24,Scarborough-Guildwood,70 STEVENVALE DR,6,100,2020-11-19,80,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,E2430,43.758941388800004,-79.2213676768,327220.55600000004,4846368.19
132297,4152598,2017.0,2020,1968.0,PRIVATE,20,Scarborough Southwest,10 TEESDALE PL,24,285,2020-11-19,79,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,,E2028,43.6965267454,-79.2862044067,322017.663,4839418.771000001
132298,4152597,2017.0,2020,1970.0,PRIVATE,20,Scarborough Southwest,20 TEESDALE PL,24,284,2020-11-19,82,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,,E2028,43.6959726218,-79.2874840709,321914.674,4839356.947
132299,4153520,2017.0,2020,1901.0,SOCIAL HOUSING,13,Toronto Centre,127 ISABELLA ST,3,20,2020-11-19,63,Evaluation needs to be conducted in 1 year,15,2.0,3.0,3.0,3.0,3.0,4.0,,3.0,3.0,,3.0,4.0,3.0,3.0,3.0,4.0,,3.0,,,S1322,43.669021237799996,-79.3777377733,314644.039,4836348.18
132300,4155180,2017.0,2020,1964.0,PRIVATE,5,York South-Weston,777 JANE ST,9,106,2020-11-19,72,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,,W0539,43.6730591704,-79.4935959279,305300.77,4836789.64
132301,4155494,2017.0,2020,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2547 LAKE SHORE BLVD W,4,26,2020-11-19,76,Evaluation needs to be conducted in 2 years,16,3.0,4.0,5.0,4.0,3.0,3.0,,3.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,W0336,43.609303546999996,-79.4892009672,305656.036,4829706.813
132302,4155492,2017.0,2020,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2555 LAKE SHORE BLVD W,4,26,2020-11-19,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0336,43.609043237399995,-79.4898363283,305704.94399999996,4829683.294
132303,4155490,2017.0,2020,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2559 LAKE SHORE BLVD W,4,26,2020-11-19,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0336,43.6090936183,-79.48861615060001,305607.776,4829677.695
132304,4155489,2017.0,2020,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2561 LAKE SHORE BLVD W,4,14,2020-11-19,80,Evaluation needs to be conducted in 2 years,14,4.0,4.0,5.0,4.0,,3.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,W0336,43.6088644692,-79.4900435258,305588.026,4829658.026000001
132305,4155428,2017.0,2020,1963.0,PRIVATE,1,Etobicoke North,35 JANSUSIE RD,3,45,2020-11-19,73,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,3.0,4.0,3.0,,3.0,,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,,W0129,43.73108456,-79.576700252,298674.512,4842987.092
132306,4152941,2017.0,2020,1958.0,PRIVATE,4,Parkdale-High Park,205 KEELE ST,4,42,2020-11-19,72,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,3.0,3.0,,3.0,,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,,S0429,43.65971467560001,-79.4617878892,307866.434,4835307.806
132307,4153016,2017.0,2020,1978.0,PRIVATE,4,Parkdale-High Park,22 MAYNARD AVE,3,36,2020-11-19,79,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,3.0,3.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,S0436,43.637780662299996,-79.4379497225,309790.94399999996,4832872.164
132308,4153065,2017.0,2020,1897.0,SOCIAL HOUSING,4,Parkdale-High Park,10 LANSDOWNE AVE,3,21,2020-11-19,73,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,,,4.0,4.0,2.0,2.0,4.0,4.0,,3.0,,,S0435,43.6410463174,-79.4371700849,309853.582,4833234.996
132309,4153685,2017.0,2020,1917.0,PRIVATE,19,Beaches-East York,97 LEE AVE,3,10,2020-11-19,73,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,3.0,4.0,4.0,,4.0,,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,,S1939,43.6711166025,-79.29799553229999,321074.04,4836593.47
132310,4156720,2017.0,2020,1962.0,PRIVATE,2,Etobicoke Centre,327 DIXON RD,6,55,2020-11-19,74,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,2.0,4.0,,3.0,4.0,5.0,3.0,5.0,5.0,2.0,3.0,3.0,,W0222,43.694646278,-79.55506382899999,300345.581,4839190.371
132311,4155365,2017.0,2020,1961.0,PRIVATE,2,Etobicoke Centre,333 DIXON RD,6,55,2020-11-19,78,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,,W0222,,,300298.13399999996,4839176.844
132312,4153530,2017.0,2020,1960.0,PRIVATE,13,Toronto Centre,100 GLOUCESTER ST,11,212,2020-11-19,72,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,,S1322,43.6680608437,-79.37977337609999,314480.036,4836241.251
132313,4154522,2017.0,2020,1956.0,PRIVATE,8,Eglinton-Lawrence,16 HOTSPUR RD,3,12,2020-11-19,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,N0823,43.73325697600001,-79.4341048887,310075.36199999996,4843467.916
132314,4154518,2017.0,2020,1956.0,PRIVATE,8,Eglinton-Lawrence,25 HOTSPUR RD,3,11,2020-11-19,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,1.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0823,43.732587967700006,-79.43470192619999,310044.798,4843405.008
132315,4154526,2017.0,2020,1957.0,PRIVATE,8,Eglinton-Lawrence,26 HOTSPUR RD,3,12,2020-11-19,75,Evaluation needs to be conducted in 2 years,16,4.0,4.0,1.0,4.0,3.0,4.0,,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0823,43.733002204399995,-79.4353409196,309977.291,4843434.838
132316,4153526,2017.0,2020,1960.0,PRIVATE,13,Toronto Centre,10 HUNTLEY ST,20,116,2020-11-19,85,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,,S1322,43.668602291400006,-79.37821746270001,314605.424,4836301.5819999995
132317,4153529,2017.0,2020,1960.0,PRIVATE,13,Toronto Centre,105 ISABELLA ST,11,221,2020-11-19,78,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,,S1322,43.6684688832,-79.3799631196,314464.668,4836286.561000001
132318,4154864,2017.0,2020,1955.0,PRIVATE,16,Don Valley East,2 BIGGIN CRT,4,77,2020-11-19,92,Evaluation needs to be conducted in 3 years,17,5.0,5.0,5.0,4.0,5.0,4.0,,5.0,4.0,,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,,N1628,43.72905505560001,-79.3049498934,320498.183,4843028.87
132319,4154867,2017.0,2020,1955.0,PRIVATE,16,Don Valley East,3 BIGGIN CRT,4,55,2020-11-19,91,Evaluation needs to be conducted in 3 years,18,5.0,5.0,5.0,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,,N1628,43.7282648735,-79.3058539405,320425.555,4842940.919
132320,4154866,2017.0,2020,1955.0,PRIVATE,16,Don Valley East,5 BIGGIN CRT,4,65,2020-11-19,93,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,N1628,43.7279966031,-79.3068020912,320349.24,4842910.937
132321,4255639,2017.0,2020,1958.0,PRIVATE,6,York Centre,3892 BATHURST ST,4,29,2020-11-19,84,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,3.0,5.0,4.0,,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,N0629,43.7434082463,-79.4360131728,309938.25899999996,4844606.96
132322,4255640,2017.0,2020,1958.0,PRIVATE,6,York Centre,3894 BATHURST ST,4,29,2020-11-19,89,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,5.0,4.0,,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,,N0629,43.743702668100006,-79.43607830170001,309932.99,4844639.666999999
